language,outcome,predictor,n,coef,IRR,IRR_CI_low,IRR_CI_high,p_raw,p_adj_bh_by_language,p_adj_bonf_by_language,sig_raw,sig_bh_by_language,sig_bonf_by_language,p_adj_bh_global,p_adj_bonf_global,sig_bh_global,sig_bonf_global,used_regularized
JavaScript,vulnerabilities,owner_is_org,3698,-1.075781791940068,0.3410310357399225,0.19557010633351515,0.594682743279326,0.00014950968769611705,0.00047491312562296,0.008073523135590321,True,True,True,0.0011213226577208779,0.0403676156779516,True,True,False
JavaScript,vulnerabilities,repo_age_days,3698,-8.276326948021053e-05,0.9999172401553047,0.999678155918075,1.0001563815722099,0.49755664833598334,0.5483277349008796,1.0,False,False,False,0.6297227353173186,1.0,False,False,False
JavaScript,vulnerabilities,staleness_days,3698,-0.0011080861402116666,0.9988925275605367,0.9980890910406004,0.9996966108265876,0.006953361974438383,0.01251605155398909,0.3754815466196727,True,True,False,0.027208807726063242,1.0,True,False,False
Python,bugs,commits_last_12m,3356,-2.7878690192175832e-05,0.9999721216984149,0.9999247840454083,1.0000194615924434,0.24840698698245822,0.6556131258541684,1.0,False,False,False,0.383256494201507,1.0,False,False,False
Python,bugs,log_forks,3356,-0.853273072914318,0.4260182586654177,0.2944681320926636,0.6163368355907618,5.943606068746193e-06,0.0003209547277122945,0.0003209547277122944,True,True,True,7.175638311813864e-05,0.0016047736385614722,True,True,False
Python,bugs,log_stars,3356,1.1708048064067613,3.224586762590337,1.7181537908969196,6.051821347171044,0.00026737658767464896,0.007219167867215522,0.014438335734431044,True,True,True,0.0018047919668038805,0.07219167867215522,True,False,False
Python,bugs,owner_is_org,3356,0.4572221726396213,1.579679806897747,0.5051961737711486,4.939444164220653,0.43182899138899944,0.8479321001751919,1.0,False,False,False,0.5709114943712152,1.0,False,False,False
Python,bugs,repo_age_days,3356,0.0007781709608789606,1.0007784738144534,0.9998840638287654,1.0016736838621199,0.08804373037644359,0.39619678669399616,1.0,False,False,False,0.18146417711175397,1.0,False,False,False
Python,bugs,staleness_days,3356,0.0006828839382084117,1.000683117156529,0.9977494530432279,1.0036254070677229,0.648481365566926,0.9069022392242697,1.0,False,False,False,0.7645850161706116,1.0,False,False,False
Python,code_smells,commits_last_12m,3356,0.00029756001161754687,1.0002976042869893,0.9993417773694592,1.0012543454113672,0.5418290379607986,0.9069022392242697,1.0,False,False,False,0.671072661694567,1.0,False,False,False
Python,code_smells,log_forks,3356,0.009930510623083644,1.0099799817659985,0.7275161679178405,1.4021125695219507,0.9526886296408191,0.954775437931658,1.0,False,False,False,0.9764748797028321,1.0,False,False,False
Python,code_smells,log_stars,3356,-0.23133614184070916,0.7934727018279039,0.5707514423691756,1.1031052780745036,0.16875941525841154,0.5474445363189314,1.0,False,False,False,0.2976822003996464,1.0,False,False,False
Python,code_smells,owner_is_org,3356,-0.38785324430363677,0.6785119114458814,0.3782058652533056,1.2172693664219156,0.19338056473820076,0.5497633895539887,1.0,False,False,False,0.32239211115820327,1.0,False,False,False
Python,code_smells,repo_age_days,3356,0.00028292697776167595,1.000282967005374,0.9999110881454146,1.0006549841715169,0.13588448436791084,0.5474445363189314,1.0,False,False,False,0.2512932245159995,1.0,False,False,False
Python,code_smells,staleness_days,3356,-0.00024017540527117016,0.9997598534345326,0.9988390458658353,1.00068150987531,0.6094478882211882,0.9069022392242697,1.0,False,False,False,0.7378965462767749,1.0,False,False,False
Python,security_hotspots,commits_last_12m,3356,0.00012052330480269242,1.000120530568028,0.9991605630914653,1.0010814203563694,0.8056948050258574,0.954775437931658,1.0,False,False,False,0.8989156915577748,1.0,False,False,False
Python,security_hotspots,log_forks,3356,0.016224531639668506,1.0163568640616485,0.707476187038227,1.46009334879481,0.9300538937183488,0.954775437931658,1.0,False,False,False,0.9764748797028321,1.0,False,False,False
Python,security_hotspots,log_stars,3356,0.03174061706404052,1.0322497226137946,0.717097352497398,1.4859063223777864,0.8644010820614471,0.954775437931658,1.0,False,False,False,0.9373149707100487,1.0,False,False,False
Python,security_hotspots,owner_is_org,3356,-0.3957533254025192,0.6731727300705683,0.38131705935886706,1.1884113584443137,0.17234365032262655,0.5474445363189314,1.0,False,False,False,0.30021151991683337,1.0,False,False,False
Python,security_hotspots,repo_age_days,3356,1.917460140448153e-05,1.0000191747852383,0.9996785334573957,1.000359932186909,0.9121642190944149,0.954775437931658,1.0,False,False,False,0.9658209378646746,1.0,False,False,False
Python,security_hotspots,staleness_days,3356,-0.00038993970120899745,0.9996101363153953,0.9987825242206679,1.0004384341868187,0.3561535965174647,0.7537550035060578,1.0,False,False,False,0.49567768587482197,1.0,False,False,False
Python,vuln_blocker,commits_last_12m,3356,7.95985617819471e-05,1.0000796017298315,0.9988617001528275,1.0012989882814332,0.8981253798560674,0.954775437931658,1.0,False,False,False,0.9584737255380957,1.0,False,False,False
Python,vuln_blocker,log_forks,3356,0.004259610113215094,1.004268695147361,0.8667930804076212,1.1635482964154444,0.954775437931658,0.954775437931658,1.0,False,False,False,0.9764748797028321,1.0,False,False,False
Python,vuln_blocker,log_stars,3356,0.0055461842411382856,1.0055615927940103,0.8520350051812197,1.1867518479330132,0.9476861169347192,0.954775437931658,1.0,False,False,False,0.9764748797028321,1.0,False,False,False
Python,vuln_blocker,owner_is_org,3356,-0.3856250950579604,0.6800254227879586,0.49189735030730075,0.9401038150521592,0.019608375149982035,0.1625166200812951,1.0,True,False,False,0.05948608191567584,1.0,False,False,False
Python,vuln_blocker,repo_age_days,3356,0.00025688315375259736,1.0002569161510553,1.000033699868902,1.0004801822570384,0.024076536308340016,0.1625166200812951,1.0,True,False,False,0.0677152583672063,1.0,False,False,False
Python,vuln_blocker,staleness_days,3356,-9.399290806524286e-05,0.9999060115091297,0.9992186802953884,1.0005938155164713,0.7887695188636157,0.954775437931658,1.0,False,False,False,0.8836836933326815,1.0,False,False,False
Python,vuln_critical,commits_last_12m,3356,0.00030188004203106236,1.0003019256123964,0.9993460158982983,1.0012587496878538,0.5360116741406964,0.9069022392242697,1.0,False,False,False,0.6669269678248296,1.0,False,False,False
Python,vuln_critical,log_forks,3356,0.12495561717269374,1.133098161850763,0.9539181987011073,1.3459345320571536,0.15479799245518938,0.5474445363189314,1.0,False,False,False,0.27863638641934085,1.0,False,False,False
Python,vuln_critical,log_stars,3356,-0.10719446252406273,0.8983509604080762,0.7468900584480862,1.0805264294761086,0.2551798346966817,0.6556131258541684,1.0,False,False,False,0.3914690645915003,1.0,False,False,False
Python,vuln_critical,owner_is_org,3356,-0.37880419027224255,0.6846796664804241,0.4616521943304765,1.0154533032635416,0.0596047570808412,0.29260517112412954,1.0,False,False,False,0.13523768413300105,1.0,False,False,False
Python,vuln_critical,repo_age_days,3356,0.0002598601128201289,1.000259893879384,1.0000369798334734,1.0004828576141291,0.022304026124548265,0.1625166200812951,1.0,True,False,False,0.0644592654664509,1.0,False,False,False
